Time,Latitude,Longitude,Altitude,Heartrate,Confidence,Source,Barometer Temperature,Barometer Pressure,Barometer Altitude,Steps
2024-06-18T20:47:16.000Z,,,,112,30,,32.01633504231,988.11048563223,211.43804933322,0
2024-06-18T20:47:26.000Z,,,,112,0,,32.02434844970,988.18537137413,210.80178080765,0
2024-06-18T20:47:36.000Z,,,,116,48,,32.03347676595,988.15442695542,211.06469607976,0
2024-06-18T20:47:46.000Z,,,,114,20,,31.99940236409,988.25689151730,210.19414462124,0
2024-06-18T20:47:56.000Z,,,,107,51,,32.01724090576,988.11315204988,211.41539338052,0
2024-06-18T20:48:06.000Z,,,,104,100,,32.00400136311,988.26884309799,210.09260728847,8
2024-06-18T20:48:16.000Z,,,,106,48,,32.01738026936,988.24899657929,210.26121838222,0
2024-06-18T20:48:26.000Z,,,,132,0,,32.00727640787,988.23272314627,210.39947547318,0
2024-06-18T20:48:36.000Z,,,,122,68,,32.00769449869,988.53133696598,207.86278247675,9
2024-06-18T20:48:46.000Z,,,,0,42,,32.00581309000,988.16288045651,210.99287133358,0
2024-06-18T20:48:56.000Z,,,,,,,31.90979156494,988.18349141405,210.81775345643,0
2024-06-18T20:49:06.000Z,,,,,,,31.80889231363,988.16203239091,211.00007685776,0
2024-06-18T20:49:16.000Z,,,,,,,31.71105906168,988.99320730339,203.94046426146,0
2024-06-18T20:49:26.000Z,,,,,,,31.60841776529,988.14069410392,211.18137762133,6
2024-06-18T20:49:36.000Z,,,,,,,31.49476674397,988.13638919271,211.21795468537,0
2024-06-18T20:49:46.000Z,,,,,,,31.40167185465,988.14177049978,211.17223194762,0
2024-06-18T20:49:56.000Z,,,,,,,31.34620513916,988.15634157120,211.04842859968,0
2024-06-18T20:50:06.000Z,,,,,,,31.30070292154,988.01120866284,212.28161870986,0
2024-06-18T20:50:16.000Z,,,,,,,31.26133270263,988.03302248754,212.09625790883,0
2024-06-18T20:50:26.000Z,,,,,,,31.23847707112,988.17029366190,210.92988581690,0
2024-06-18T20:50:36.000Z,,,,,,,31.24662984212,988.22216352419,210.48918971333,0
2024-06-18T20:50:46.000Z,,,,0,23,,31.22670084635,988.09086807311,211.60473685482,0
2024-06-18T20:50:56.000Z,,,,84,0,,31.17290649414,988.13828435934,211.20185221629,12
2024-06-18T20:51:06.000Z,,,,87,16,,31.10538482666,988.38095225722,209.14020719848,0
2024-06-18T20:51:16.000Z,,,,91,0,,31.07667592366,988.14891316627,211.11154397958,0
2024-06-18T20:51:26.000Z,,,,91,73,,31.04211374918,987.92484311029,213.01553391718,0
2024-06-18T20:51:36.000Z,,,,88,25,,31.04643402099,988.21635812740,210.53851252534,0
2024-06-18T20:51:46.000Z,,,,88,60,,31.03082529703,988.17679648927,210.87463554586,0
2024-06-18T20:51:56.000Z,,,,89,27,,31.03765411376,988.09511699279,211.56863418039,0
2024-06-18T20:52:06.000Z,,,,94,47,,31.04483133951,988.16455542765,210.97864008475,0
2024-06-18T20:52:16.000Z,,,,92,53,,31.08050842285,988.11264004935,211.41974373040,0
2024-06-18T20:52:26.000Z,,,,100,55,,31.07758178710,987.90366366943,213.19552001475,0
2024-06-18T20:52:36.000Z,,,,100,82,,31.09409637451,988.24898104134,210.26135038982,13
2024-06-18T20:52:46.000Z,,,,106,0,,31.11639455159,988.18973005050,210.76474841031,12
2024-06-18T20:52:56.000Z,,,,111,37,,31.13451182047,988.18393733620,210.81396477909,6
2024-06-18T20:53:06.000Z,,,,122,87,,31.19708607991,988.12832659923,211.28645958082,0
2024-06-18T20:53:16.000Z,,,,121,58,,31.21178894042,988.39863690119,208.98997896405,0
2024-06-18T20:53:26.000Z,,,,119,57,,31.27547810872,988.21502807226,210.54981274365,0
2024-06-18T20:53:36.000Z,,,,104,100,,31.29770660400,988.20261259388,210.65529589421,0
2024-06-18T20:53:46.000Z,,,,103,32,,31.34237263997,988.19967173980,210.68028184292,12
2024-06-18T20:53:56.000Z,,,,103,19,,31.38111572265,988.29703745515,209.85307974651,0
2024-06-18T20:54:06.000Z,,,,101,38,,31.39080149332,988.15697685213,211.04303095842,0
2024-06-18T20:54:16.000Z,,,,94,74,,31.40411071777,988.16951286964,210.93651971786,0
2024-06-18T20:54:26.000Z,,,,74,82,,31.41825612386,988.17371585651,210.90080963088,0
2024-06-18T20:54:36.000Z,,,,71,91,,31.42522430419,988.16099618758,211.00888088660,0
2024-06-18T20:54:46.000Z,,,,68,32,,31.43393452962,988.15464022451,211.06288404361,0
2024-06-18T20:54:56.000Z,,,,69,84,,31.46800893147,988.23056583368,210.41780387467,0
2024-06-18T20:55:06.000Z,,,,71,78,,31.54312591552,988.19317085846,210.73551454444,0
2024-06-18T20:55:16.000Z,,,,71,21,,31.55274200439,988.28676591377,209.94034185295,0
2024-06-18T20:55:26.000Z,,,,71,54,,31.59037017822,988.16570145702,210.96890295560,0
2024-06-18T20:55:36.000Z,,,,74,16,,31.64946034749,988.36295752200,209.29307184268,0
2024-06-18T20:55:46.000Z,,,,82,9,,31.66207275390,988.22375010058,210.47571015723,0
2024-06-18T20:55:56.000Z,,,,83,46,,31.67865702311,988.25245616998,210.23182636164,0
2024-06-18T20:56:06.000Z,,,,87,63,,31.71189524332,988.27390072657,210.04963937061,0
2024-06-18T20:56:16.000Z,,,,100,79,,31.71893310546,988.28397936480,209.96401516785,0
2024-06-18T20:56:26.000Z,,,,102,0,,31.73586578369,988.13469375415,211.23236016647,0
2024-06-18T20:56:36.000Z,,,,110,46,,31.74297332763,988.27805197248,210.01437190923,0
2024-06-18T20:56:46.000Z,,,,104,21,,31.76276295979,988.36953348623,209.23720899607,0
2024-06-18T20:56:56.000Z,,,,107,61,,31.79446818033,988.24640854819,210.28320585367,0
2024-06-18T20:57:06.000Z,,,,108,82,,31.84665985107,988.15909389926,211.02504356501,0
2024-06-18T20:57:16.000Z,,,,106,13,,31.89613393147,988.25559209210,210.20518423930,0
2024-06-18T20:57:26.000Z,,,,92,51,,31.90115102132,988.26088960792,210.16017783554,0
2024-06-18T20:57:36.000Z,,,,92,0,,31.95480600992,988.22906985818,210.43051361401,11
2024-06-18T20:57:46.000Z,,,,87,85,,31.95355173746,988.23364555895,210.39163871890,2
2024-06-18T20:57:56.000Z,,,,87,45,,31.97856750488,988.26012433633,210.16667938442,0
2024-06-18T20:58:06.000Z,,,,76,35,,32.02720540364,988.29577363347,209.86381653191,0
2024-06-18T20:58:16.000Z,,,,72,8,,32.08629557291,988.21701534856,210.53292874431,0
2024-06-18T20:58:26.000Z,,,,72,33,,32.08796793619,988.22452736905,210.46910648920,0
2024-06-18T20:58:36.000Z,,,,72,58,,32.10531870524,988.21261451173,210.57031851213,0
2024-06-18T20:58:46.000Z,,,,72,68,,32.13291269938,988.29161478550,209.89914806466,0
2024-06-18T20:58:56.000Z,,,,70,66,,32.14880015055,987.98654736935,212.49117958400,0
2024-06-18T20:59:06.000Z,,,,72,2,,32.17994791666,988.16843565900,210.94567210635,0
2024-06-18T20:59:16.000Z,,,,78,30,,32.19520823160,988.16029209031,211.01486320378,0
2024-06-18T20:59:26.000Z,,,,79,80,,32.20698445638,988.16926975412,210.93858531841,0
2024-06-18T20:59:36.000Z,,,,68,43,,32.23806254069,988.13801531295,211.20413819382,0
2024-06-18T20:59:46.000Z,,,,62,86,,32.25611012776,988.15326879775,211.07453634681,0
2024-06-18T20:59:56.000Z,,,,58,82,,32.26433258056,988.14707757813,211.12714009799,0
2024-06-18T21:00:06.000Z,,,,56,97,,32.29687398274,988.14644826923,211.13248704145,0
2024-06-18T21:00:16.000Z,,,,59,91,,32.30746561686,988.14508587585,211.14406267044,0
2024-06-18T21:00:26.000Z,,,,62,68,,32.34028574625,988.07796052026,211.71441189921,0
2024-06-18T21:00:36.000Z,,,,58,83,,32.36049346923,988.07186491064,211.76620649334,0
